Entity,Year,Retail,Out-of-home,Households,Total per capita food waste,Retail %,Out-of-home %,Households %
Bermuda,2019,12.55,25.04,72.17,109.76,11.434037900874635,22.8134110787172,65.75255102040816
Bermuda,2022,15.89,45.48,73.51,134.88,11.780842230130487,33.718861209964416,54.5002965599051
Bhutan,2019,15.55,27.49,78.18,121.22,12.827916185447947,22.677775944563603,64.49430786998846
Bhutan,2022,9.65,32.38,19.26,61.290000000000006,15.744819709577417,52.8308043726546,31.42437591776799
Bolivia,2019,15.29,27.03,78.29,120.61,12.677224110770249,22.411077025122296,64.91169886410746
Bolivia,2022,13.32,47.75,90.12,151.19,8.810106488524374,31.582776638666576,59.60711687280905
Bonaire Sint Eustatius and Saba,2022,15.98,25.33,104.99,146.3,10.922761449077239,17.31373889268626,71.7634996582365
Bosnia and Herzegovina,2019,15.36,27.16,81.31,123.83,12.404102398449487,21.933295647258337,65.66260195429217
Bosnia and Herzegovina,2022,14.7,24.51,85.7,124.91,11.76847330077656,19.622127932111123,68.60939876711232
Botswana,2019,14.41,25.48,84.73,124.62,11.563151982025357,20.446156315198202,67.99069170277645
Botswana,2022,15.36,30.92,50.41,96.69,15.88582066397766,31.9784879511842,52.13569138483815
Brazil,2019,15.59,27.55,59.39,102.53,15.205305764166585,26.870184336291818,57.9245098995416
Brazil,2022,2.67,47.55,94.23,144.45,1.8483904465212877,32.91796469366563,65.23364485981308
British Virgin Islands,2019,12.56,25.06,72.45,110.07,11.410920323430545,22.76732988098483,65.82174979558464
British Virgin Islands,2022,14.43,40.72,84.35,139.5,10.344086021505376,29.189964157706093,60.46594982078852
Brunei,2019,12.67,25.29,79.31,117.27,10.804127227764987,21.565617805065234,67.63025496716978
Brunei,2022,46.09,35.14,75.97,157.2,29.319338422391862,22.353689567430028,48.32697201017812
Bulgaria,2019,15.52,27.44,67.87,110.83,14.003428674546603,24.758639357574665,61.23793196787874
Bulgaria,2020,6.68,17.46,54.88,79.02000000000001,8.453556061756515,22.095671981776764,69.45077195646672
Bulgaria,2021,5.98,16.99,52.58,75.55,7.915287888815355,22.488418266048974,69.59629384513568
Bulgaria,2022,2.0,2.0,25.99,29.99,6.668889629876626,6.668889629876626,86.66222074024675
Burkina Faso,2019,15.17,26.82,99.61,141.6,10.713276836158192,18.940677966101696,70.34604519774011
Burkina Faso,2022,9.68,31.13,91.98,132.79000000000002,7.289705550116725,23.443030348670828,69.26726410121243
Burundi,2019,15.19,26.85,99.72,141.76,10.715293453724605,18.940462753950342,70.34424379232506
Burundi,2022,9.68,31.14,92.0,132.82,7.288059027254931,23.445264267429604,69.26667670531546
Cambodia,2019,15.91,28.12,87.82,131.85,12.066742510428517,21.32726583238529,66.6059916571862
Cambodia,2022,44.25,40.34,84.68,169.27,26.141667158976784,23.831748094759853,50.02658474626337
Cameroon,2019,15.7,27.75,99.95,143.4,10.948396094839609,19.351464435146443,69.70013947001394
Cameroon,2022,9.68,31.13,89.11,129.92000000000002,7.450738916256157,23.960899014778324,68.58836206896551
